bill_id,state,session,identifier,title,abstract,abstract_word_count,first_action_date,latest_action_date,latest_passage_date,openstates_url,bill_classifications,subjects,originating_chamber,sponsor_names,primary_sponsor_names,sponsor_person_ids,sponsor_parties,primary_sponsor_parties,sponsor_count,primary_sponsor_count,party_count,action_count,latest_action_description,latest_action_classifications,derived_status,passage_count,vote_event_count,passage_vote_count,passed_vote_event_count,failed_vote_event_count,latest_vote_date,latest_vote_result,latest_vote_motion,days_first_to_latest_action,source_urls,full_text,full_text_source_url,full_text_status,full_text_error,dc_relevant,dc_relevance_type,dc_policy_categories,dc_policy_direction,dc_relevance_confidence,dc_relevance_reason,dc_relevance_evidence_quote,dc_relevance_evidence_verified,dc_source_scope,dc_source_url,dc_source_sha256,dc_model,dc_relevance_prompt_version,dc_relevance_status,dc_relevance_error,supportiveness_score,supportiveness_confidence,supportiveness_reason,supportiveness_evidence_quote,supportiveness_evidence_verified,supportiveness_model,supportiveness_prompt_version,supportiveness_status,supportiveness_error
ocd-bill/d2396bbc-eb4a-498d-8b40-4e32093d3595,California,20232024,SB 284,Electricity: energization transparency and efficiency: wholesale distribution service.,"Existing law vests the Public Utilities Commission (PUC) with regulatory jurisdiction over public utilities, including electrical corporations.

This bill would require each electrical corporation to provide distribution planning data, as defined, to development project applicants, energizing entities, as defined, and public entities in a timely and efficient manner. The bill would require the PUC to require each electrical corporation to develop and make publicly available uniform technical standards and requirements for the energization of electrical load on the distribution system and information about its distribution system interconnection queue necessary for the energization of electrical load. The bill would require each electrical corporation that has filed a wholesale distribution tariff with the Federal Energy Regulatory Commission to offer service under that tariff to the state, an agency, authority, or instrumentality of the state, or a political subdivision to transmit electricity that those public entities consume or sell directly to an ultimate consumer, as provided.

Under existing law, a violation of any order, decision, rule, direction, demand, or requirement of the PUC is a crime.

Because a violation of a PUC action implementing the bill would be a crime, this bill would impose a state-mandated local program.

The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.

This bill would provide that no reimbursement is required by this act for a specified reason.",239,2023-02-01,2024-07-01,2023-04-10,https://openstates.org/ca/bills/20232024/SB284/,bill,Electricity|energization transparency and efficiency|wholesale distribution service,upper,Wiener,Wiener,ocd-person/de84277e-1c23-4036-bd64-b27c310a1c0e,Democratic,Democratic,1,1,1,16,July 1 set for first hearing canceled at the request of author.,,passed_chamber_or_legislature,1,2,1,2,0,2023-04-10T07:00:00+00:00,pass,3rd Reading,516,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB284,,,not_needed_abstract_at_least_100_words,,yes,technology-neutral large-load policy,grid/interconnection,neutral/study,0.8,"Requires utilities to provide distribution planning data and interconnection queue info to development applicants, impacting grid access for large loads.",information about its distribution system interconnection queue necessary for the energization of electrical load,True,abstract,https://openstates.org/ca/bills/20232024/SB284/,c60c64ffcdbaf40fa29824b40fe46c6e660e99f6ce1d5a683ae2ce581178feac,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,6,0.8,"Mandates utility data sharing for interconnection, reducing information barriers for large-load applicants without direct financial incentives.",require each electrical corporation to provide distribution planning data... to development project applicants... in a timely and efficient manner.,False,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,20232024,SB 1018,Electricity.,"The Public Utilities Act vests the Public Utilities Commission with regulatory authority over public utilities, including electrical corporations. The act defines ""electrical corporation"" to include every corporation or person owning, controlling, operating, or managing any electric plant for compensation within this state, except as specified. The act authorizes the commission to fix the rates and charges for every public utility and requires that those rates and charges be just and reasonable.

This bill would revise the definition of ""electrical corporation"" to exclude a corporation or person employing certain solar or wind generating technology if electricity is transmitted exclusively and directly through private electrical lines to a single facility owned by a different corporation or person that uses the electricity only for new load, not for departing load, and for an electrolytic hydrogen production facility, as defined, or a facility using the electricity to provide industrial process heat, or both.

This bill would require private electric lines located on property other than the property on which a single electrolytic hydrogen production facility or industrial process heat facility or solar or wind generating technology is located to be subject to all applicable General Orders, as determined by the commission, except as provided, and would require corporations or persons employing private electric lines that are subject to those requirements to file wildfire mitigation plans if any part of the private electric lines are located in high fire threat districts, as specified.

This bill would require the commission, on or before July 1, 2026, in a new or existing proceeding, to evaluate and, if just and reasonable, establish a tariff for qualified self-generation projects with a generating capacity exceeding 80,000 kilowatts. The bill would require the commission to structure the tariff so that an electrical corporation serves as an intermediary between the electrical generation and energy storage facilities providing the electricity and the qualified self-generation project. The bill would require the commission to structure rates for qualified self-generation projects to administer the purchase and resale of the electricity from the electrical generation and energy storage facilities solely at cost, as specified. The bill would also require a customer to meet various requirements to be considered a qualified self-generation project, including, among other requirements, that the customer uses electricity from specified sources and the electricity is transmitted exclusively and directly through private electric lines to the customer's facility. The bill would require any cost associated with the tariff to be paid solely by participating customers such that nonparticipating customers bear no additional costs, and would require private electric lines located on property other than the property on which a single electrolytic hydrogen production facility or industrial process heat facility or solar or wind generating technology is located to be subject to all applicable General Orders, as determined by the commission, except as provided.

Under existing law, a violation of the act or any order, decision, rule, direction, demand, or requirement of the commission is a crime.

Because the provisions of this bill would be a part of the act and because a violation of a commission action implementing the bill's requirements would be a crime, the bill would impose a state-mandated local program.

The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.

This bill would provide that no reimbursement is required by this act for a specified reason.",573,2024-02-05,2024-08-15,2024-05-21,https://openstates.org/ca/bills/20232024/SB1018/,bill,Electricity,upper,Becker,Becker,ocd-person/c71137b2-3fc3-48bf-b0ad-6c29aff98268,Democratic,Democratic,1,1,1,17,August 15 hearing: Held in committee and under submission.,,passed_chamber_or_legislature,1,3,1,3,0,2024-07-01T07:00:00+00:00,pass,Do pass as amended and be re-referred to the Committee on [Appropriations],192,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB1018,,,not_needed_abstract_at_least_100_words,,yes,technology-neutral large-load policy,utility rates/cost allocation|grid/interconnection,supportive,0.9,Establishes tariff for self-generation projects exceeding 80MW serving a single facility via private lines. Plausibly covers large data center loads.,"establish a tariff for qualified self-generation projects with a generating capacity exceeding 80,000 kilowatts",True,abstract,https://openstates.org/ca/bills/20232024/SB1018/,3f94e4553b4bdbc2c796ed563ec0cf3379fcf249aeca9f010c4029057c76555c,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,8,0.9,"Establishes specific tariff and regulatory framework for large-scale (>80MW) self-generation via private lines, significantly streamlining power access for major facilities.","require the commission... to evaluate and, if just and reasonable, establish a tariff for qualified self-generation projects with a generating capacity exceeding 80,000 kilowatts.",False,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,20232024,SB 1298,Certification of thermal powerplants: data centers.,"Existing law vests the State Energy Resources Conservation and Development Commission with the exclusive power to certify all locations on which an electrical transmission line or thermal powerplant is constructed, or is proposed to be constructed, and related electrical transmission lines or thermal powerplants. Existing law authorizes the commission to exempt from certification a thermal powerplant with a generating capacity of up to 100 megawatts, and modifications to existing generating facilities that do not add capacity in excess of 100 megawatts, if the commission finds that no substantial adverse impact on the environment or energy resources will result from the construction or operation of the proposed facility or from the modifications.

This bill would additionally authorize the commission to exempt from certification a thermal powerplant with a generating capacity of up to 150 megawatts if specified requirements are met, including that it is used solely as a backup generation facility for a data center, it is located on the customer side of the meter and is not interconnected to the distribution system, a skilled and trained workforce is used to perform all construction work on the facility, as specified, the commission finds that no substantial adverse impact on the environment or energy resources will result from the construction and operation of the facility, and the commission obtains a determination from the applicable air pollution control district or air quality management district that the facility's backup generation technology meets the best available control technology requirements. The bill would require the owner or operator of a facility granted an exemption under the bill to fully mitigate the facility's impacts on air quality, as provided. The bill would repeal its provisions on January 1, 2027.",282,2024-02-15,2024-08-27,2024-05-22,https://openstates.org/ca/bills/20232024/SB1298/,bill,Certification of thermal powerplants|data centers,upper,Cortese,Cortese,ocd-person/0fa65d2c-6020-4586-a6f1-5dfd41db38ff,Democratic,Democratic,1,1,1,29,Re-referred to Com. on RLS. pursuant to Assembly Rule 97.,referral-committee,passed_chamber_or_legislature,1,10,1,10,0,2024-08-15T07:00:00+00:00,pass,Do pass as amended.,194,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB1298,,,not_needed_abstract_at_least_100_words,,yes,direct data-center reference,siting/permitting|workforce/construction|water/environment,conditional/regulatory,0.95,"Explicitly regulates backup thermal powerplants for data centers, granting certification exemptions under specific conditions regarding location, workforce, and air quality.",used solely as a backup generation facility for a data center,True,abstract,https://openstates.org/ca/bills/20232024/SB1298/,c66134b24fa765e1d9774dc3d95cb47e0d4ce960881ebd8f3fdc39e68ffe82e6,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,7,0.9,"Exempts data center backup generators up to 150MW from state certification, streamlining permitting for critical on-site power infrastructure subject to air quality conditions.","authorize the commission to exempt from certification a thermal powerplant with a generating capacity of up to 150 megawatts if specified requirements are met, including that it is used solely as a backup generation facility for a data center",True,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,20252026,AB 93,Water resources: data centers.,"Existing law authorizes the legislative body of an incorporated city and the county board of supervisors to license businesses carried on within their respective jurisdictions and to set license fees, as specified.

This bill would require a person who owns or operates a data center, prior to applying to a city or a county for an initial business license, equivalent instrument, or permit, to provide its water supplier, under penalty of perjury, an estimate of the expected water use. When applying to a city or county for an initial business license, the bill would require a person who owns or operates a data center to self-certify, under penalty of perjury, on the application that the person has provided its water supplier an estimate of the expected water use. When applying to a city or county for a renewal of a business license, equivalent instrument, or permit, the bill would require a person who owns or operates a data center to self-certify, under penalty of perjury, on the application, that they have provided the data center's water supplier with a report of the annual water use. By expanding the crime of perjury, the bill would impose a state-mandated local program. The bill would authorize the Department of Water Resources, as part of any efficiency standard adopted under a specified provision of law, to identify different tiers of data centers, based on factors affecting water consumption, and appropriate standards for each data tier. The bill would define terms for purposes of these provisions.

The bill would include findings that changes proposed by this bill address a matter of statewide concern rather than a municipal affair and, therefore, apply to all cities, including charter cities.

The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.

This bill would provide that no reimbursement is required by this act for a specified reason.",326,2025-01-07,2026-01-22,2025-09-10,https://openstates.org/ca/bills/20252026/AB93/,bill,Waterresources|datacenters,lower,Papan,Papan,ocd-person/20c72bef-f518-4677-bbcb-83c502c36ede,Democratic,Democratic,1,1,1,34,Consideration of Governor's veto stricken from file.,veto-override-failure,vetoed,2,10,2,10,0,2025-09-11T18:57:51+00:00,pass,AB 93 Papan Concurrence in Senate Amendments,380,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB93,,,not_needed_abstract_at_least_100_words,,yes,direct data-center reference,water/environment|reporting/transparency|siting/permitting,conditional/regulatory,0.95,Explicitly regulates data center water use reporting and licensing requirements with water suppliers.,This bill would require a person who owns or operates a data center... to provide its water supplier... an estimate of the expected water use.,False,abstract,https://openstates.org/ca/bills/20252026/AB93/,10e78a433524ccf5b41dbdc4b092d5c26c8822a7dd21851124a42024a3afcf63,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,4,0.8,"Adds reporting burdens and perjury risk for water use estimates before licensing, creating modest compliance costs without incentives.","provide its water supplier, under penalty of perjury, an estimate of the expected water use",True,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,20252026,AB 222,Data centers: power usage effectiveness: cost shifts.,"Existing law requires the State Energy Resources Conservation and Development Commission (Energy Commission) to biennially adopt an integrated energy policy report, as specified, and to make the reports accessible to state, local, and federal entities and to the general public.

This bill would require the Energy Commission to establish a process for the owner of a data center, as defined, to submit the power usage effectiveness ratio, as defined, for the data center to the Energy Commission on a biannual basis, and require the owner of a data center to submit this information for the data center in the manner and timeframe specified by the Energy Commission. The bill would require the Energy Commission, as part of the 2027 edition of the integrated energy policy report, to include an assessment of electrical load trends for data centers, as provided.

Existing law vests the Public Utilities Commission (PUC) with regulatory authority over public utilities, including electrical corporations. Existing law authorizes the PUC to fix the rates and charges for every public utility, and requires that those rates and charges be just and reasonable.

This bill would require the PUC to assess the extent to which electrical corporation costs associated with new loads from data centers result in cost shifts to other electrical corporation customers, as provided, and require the PUC, on or before January 1, 2027, to submit the assessment to the relevant policy committees of the Legislature and to publicly post a copy of the assessment on the PUC's internet website.

Existing constitutional provisions require that a statute that limits the right of access to the meetings of public bodies or the writings of public officials and agencies be adopted with findings demonstrating the interest protected by the limitation and the need for protecting that interest.

This bill would make legislative findings to that effect.",305,2025-01-08,2025-08-29,2025-06-02,https://openstates.org/ca/bills/20252026/AB222/,bill,Datacenters|costshifts|powerusageeffectiveness,lower,Bauer-Kahan,Bauer-Kahan,ocd-person/2918acca-40a2-4819-a79a-b2873c7895bc,Democratic,Democratic,1,1,1,23,In committee: Held under submission.,,passed_chamber_or_legislature,1,7,1,7,0,2025-08-18T07:00:00+00:00,pass,Placed on suspense file,233,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB222,,,not_needed_abstract_at_least_100_words,,yes,direct data-center reference,utility rates/cost allocation|reporting/transparency|energy requirements,conditional/regulatory,0.95,Mandates PUE reporting for data centers and requires PUC assessment of cost shifts from data center loads.,This bill would require the Energy Commission to establish a process for the owner of a data center... to submit the power usage effectiveness ratio...,False,abstract,https://openstates.org/ca/bills/20252026/AB222/,079ad44c638a584a2f4bd2a8af76de924a4ec0f953683c15379f411819750de5,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,4,0.75,"Mandates biannual PUE reporting and assesses cost shifts, creating compliance overhead and potential future rate liabilities for data centers.","submit the power usage effectiveness ratio, as defined, for the data center to the Energy Commission on a biannual basis",True,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,20252026,SB 57,Electrical corporations: data centers: report.,"Existing law vests the Public Utilities Commission with regulatory authority over public utilities, including electrical corporations. Existing law authorizes the commission to fix the rates and charges for every public utility and requires that those rates and charges be just and reasonable.

This bill would authorize the commission to assess the extent to which electrical corporation costs associated with new loads from data centers result in cost shifts to other electrical corporation customers, as provided. The bill would require the commission to submit an assessment completed pursuant to that authorization to the relevant policy committees of the Legislature and to publicly post a copy of the assessment on the commission's internet website on or before January 1, 2027.",118,2025-01-08,2025-10-11,2025-09-12,https://openstates.org/ca/bills/20252026/SB57/,bill,Electricalcorporations|datacenters|report,upper,McNerney|Padilla|Stern,Padilla,ocd-person/66bd4b32-5536-4bae-ab55-08c0b70ca5fd|ocd-person/e9733632-df5d-48b4-b4a3-4768e7dcb5f7|ocd-person/eb745b9e-4ced-494a-a298-fdffa9207b0d,Democratic,Democratic,3,1,1,30,"Chaptered by Secretary of State. Chapter 647, Statutes of 2025.",became-law,enacted,2,8,2,8,0,2025-09-13T07:00:00+00:00,pass,Unfinished Business SB57 Padilla et al. Concurrence,276,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB57,,,not_needed_abstract_at_least_100_words,,yes,direct data-center reference,utility rates/cost allocation|reporting/transparency,conditional/regulatory,0.95,"Explicitly targets data center loads and cost shifts to utility customers, governing utility regulation regarding data centers.",assess the extent to which electrical corporation costs associated with new loads from data centers result in cost shifts to other electrical corporation customers,True,abstract,https://openstates.org/ca/bills/20252026/SB57/,ed285df3ffc7e2036233608c475c3e22774249ecde12a2f2aaf6a242d88a05fa,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,4,0.8,"Authorizes utility cost shift assessments regarding data center loads, introducing regulatory scrutiny and potential rate increase risks.",assess the extent to which electrical corporation costs associated with new loads from data centers result in cost shifts,True,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,20252026,AB 1095,Data centers: waste heat energy.,"The Bergeson-Peace Infrastructure and Economic Development Bank Act establishes the California Infrastructure and Economic Development Bank (I-Bank) in the Governor's Office of Business and Economic Development, governed by a board of directors. The act, among other things, authorizes the I-Bank to make loans, issue bonds, and provide financial assistance for various types of projects that qualify as economic development or public development facilities. The Climate Catalyst Revolving Loan Fund Act of 2020 authorizes the I-Bank, under the Climate Catalyst Revolving Loan Fund Program, to provide financial assistance to any eligible sponsor or participating party in connection with the financing or refinancing for eligible climate catalyst projects, as defined, either directly to the sponsor or participating party or to a lending or financial institution, as specified. The act, beginning in the 2021–22 fiscal year, requires the I-Bank to adopt a climate catalyst financing plan, as specified, after meeting and conferring with prescribed authorized consulting agencies concerning specific categories of climate catalyst projects. The act establishes the Climate Catalyst Revolving Loan Fund as a continuously appropriated fund for the purpose of implementing the objectives and provisions of the act.

This bill would authorize the I-Bank to provide financial assistance in connection with the financing or refinancing of an additional category of climate catalyst projects, those projects that enable the capture and conversion of data centers' waste heat, with the State Energy Resources Conservation and Development Commission (Energy Commission) as the consulting agency. If multiple projects seek funding under this category of climate catalyst projects, the bill would require the consulting agencies to prioritize funding based on state policy and on financial considerations, as determined by the Energy Commission. By expanding the purposes for which moneys in the fund may be expended, the bill would make an appropriation.",296,2025-02-20,2026-02-02,,https://openstates.org/ca/bills/20252026/AB1095/,appropriation|bill,Datacenters|wasteheatenergy,lower,Papan,Papan,ocd-person/20c72bef-f518-4677-bbcb-83c502c36ede,Democratic,Democratic,1,1,1,13,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,committee-passage|failure,failed,0,2,0,2,0,2025-04-28T07:00:00+00:00,pass,Do pass and be re-referred to the Committee on [Appropriations] with recommendation: To Consent Calendar,347,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1095,,,not_needed_abstract_at_least_100_words,,yes,direct data-center reference,other,supportive,0.95,Bill explicitly authorizes financial assistance for projects capturing and converting data centers' waste heat.,capture and conversion of data centers' waste heat,True,abstract,https://openstates.org/ca/bills/20252026/AB1095/,00ba607fc353d6549ba9d8394bcacfa970e5e6ec8ca1e4a99b8c16c39af5d5fc,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,7,0.9,Financial assistance for waste heat projects reduces costs and facilitates sustainable data center infrastructure development.,"authorize the I-Bank to provide financial assistance in connection with the financing or refinancing of an additional category of climate catalyst projects, those projects that enable the capture and conversion of data centers' waste heat",True,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/37a8f3f7-6906-48da-8491-35be5cb50e85,California,20252026,AB 1347,Electrical modernization zones.,"Existing law provides that it is the policy of the state that each electrical corporation upgrade the state's electrical distribution systems as needed. Existing law requires the Public Utilities Commission (PUC) , in consultation with the State Energy Resources Conservation and Development Commission (Energy Commission) and the Independent System Operator (ISO) , to take specified actions to facilitate the commercialization of microgrids for distribution customers of large electrical corporations.

This bill would require the Governor's Office of Business and Economic Development, in conjunction with the ISO, to identify six electrical infrastructure modernization zones, as provided. The bill would require the PUC and the Energy Commission to recognize these zones as load growth priority areas. The bill would authorize an electrical corporation that serves a customer within an electrical infrastructure modernization zone to work with the local jurisdiction to update its electrical load projections. The bill would require the PUC to authorize an electrical corporation that serves a customer within an electrical infrastructure modernization zone to expedite cost recovery and to manage microgrids, as specified.

Under existing law, a violation of the Public Utilities Act or any order, decision, rule, direction, demand, or requirement of the PUC is a crime.

Because the provisions of this bill would be a part of the act, and because a violation of a PUC action implementing its requirements would be a crime, the bill would impose a state-mandated local program.

The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.

This bill would provide that no reimbursement is required by this act for a specified reason.

This bill would make legislative findings and declarations as to the necessity of a special statute for the unincorporated area known as Altadena in the County of Los Angeles.",306,2025-02-21,2026-02-02,,https://openstates.org/ca/bills/20252026/AB1347/,bill,Electricalmodernizationzones,lower,Carrillo,Carrillo,ocd-person/092bda0e-23a9-4d25-92a9-5808e996702b,Democratic,Democratic,1,1,1,12,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,committee-passage|failure,failed,0,1,0,1,0,2025-04-22T07:00:00+00:00,pass,Do pass and be re-referred to the Committee on [Utilities and Energy],346,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1347,,,not_needed_abstract_at_least_100_words,,uncertain,uncertain,grid/interconnection|local authority,supportive,0.5,"Bill establishes 'load growth priority areas' and expedites cost recovery, which affects large loads, but also specifies a special statute for Altadena, creating ambiguity on statewide applicability.",identify six electrical infrastructure modernization zones... make legislative findings... for the unincorporated area known as Altadena,False,abstract,https://openstates.org/ca/bills/20252026/AB1347/,194be8180e18278949720d008f12e0fd75694e28c9c9d7652d80088e3ee1ec75,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,,,,,,,,manual_relevance_review_needed,
ocd-bill/9ca110f9-dd7b-4aab-a2f6-9302cf45ccf5,California,20252026,AB 1408,Electricity: interconnections.,"Existing law establishes the Independent System Operator (ISO) as a nonprofit, public benefit corporation and requires the ISO, among other duties, to ensure the efficient use and reliable operation of the transmission grid consistent with the achievement of planning and operating reserve criteria, as provided.

This bill would require the ISO to integrate surplus interconnection service considerations into its long-term transmission planning and enhance transparency around surplus interconnection service opportunities, as specified.

Existing law vests the Public Utilities Commission with regulatory authority over public utilities, including electrical corporations, while local publicly owned electric utilities are under the direction of their governing boards.

Existing law requires the commission to adopt a process for each load-serving entity to file an integrated resource plan, adopt a schedule for periodic updates to the plan, and ensure each load-serving entity take specified actions, as specified. Existing law also requires the governing board of each local publicly owned electric utility with an annual electrical demand exceeding 700 gigawatthours to adopt an integrated resource plan and a process for updating the plan at least once every 5 years to ensure the utility achieves certain goals, as specified.

This bill would require each electrical corporation, and each local publicly owned utility with an annual electrical demand exceeding 700 gigawatthours, to require the evaluation of surplus interconnection service options and to consider surplus interconnection service options, for purposes of its integrated resource plan.

This bill would also require each electrical corporation or local publicly owned electric utility to use available grid infrastructure through surplus interconnection service to use any available interconnection capacity, as specified.

Under existing law, a violation of the Public Utilities Act or any order, decision, rule, direction, demand, or requirement of the commission is a crime.

Because certain provisions of this bill would be part of the act and a violation of a commission action implementing the bill's requirements would be a crime, the bill would impose a state-mandated local program.

Additionally, by imposing new duties on local publicly owned electric utilities, the bill would impose a state-mandated local program.

The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement.

This bill would provide that no reimbursement is required by this act for specified reasons.",387,2025-02-21,2026-01-22,2025-09-03,https://openstates.org/ca/bills/20252026/AB1408/,bill,Electricity|interconnections,lower,Archuleta|Irwin|Stern,Irwin,ocd-person/66bd4b32-5536-4bae-ab55-08c0b70ca5fd|ocd-person/a76028df-5730-47b0-b617-1565621def41|ocd-person/e7ad99fd-fda5-4114-af3e-320f5be9be3c,Democratic,Democratic,3,1,1,31,Consideration of Governor's veto stricken from file.,veto-override-failure,vetoed,2,6,2,6,0,2025-09-04T18:46:57+00:00,pass,AB 1408 Irwin Concurrence in Senate Amendments,335,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1408,,,not_needed_abstract_at_least_100_words,,yes,technology-neutral large-load policy,grid/interconnection,supportive,0.9,"Bill mandates utilities to evaluate and utilize surplus interconnection service options in resource planning, materially governing grid connection capacity for large loads like data centers.",require each electrical corporation... to require the evaluation of surplus interconnection service options... for purposes of its integrated resource plan,False,abstract,https://openstates.org/ca/bills/20252026/AB1408/,81b50444435c0ca912dd6aea7e32048d0bbe7f9a73f00dfc7815581357f22131,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,7,0.9,"Mandates utilities to utilize surplus grid capacity, reducing interconnection barriers and facilitating power access for large-load data center projects.",require the evaluation of surplus interconnection service options and to consider surplus interconnection service options,True,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
ocd-bill/28512a83-39f0-46a4-8f5a-0bfd5f2b9ece,California,20252026,AB 1577,Data centers: reporting.,"Existing law establishes the State Energy Resources Conservation and Development Commission and vests the commission with various responsibilities with respect to developing and implementing the state's energy policies. Existing law requires the commission to biennially adopt an integrated energy policy report, as specified, and to make the reports accessible to state, local, and federal entities and to the general public.

This bill would require the commission to establish a process for the owner of a data center, as defined, to submit specified information to the commission, including, among other information, the data center's location and size, the data center's power usage effectiveness, as defined, and the quantity of fuel consumed by onsite generators or other fuel-based energy systems, as specified. The bill would require the owner of a data center to submit the required information in the manner and timeframe specified by the commission. The bill would require the commission, beginning with the 2029 integrated energy policy report, and in subsequent biennial reports thereafter as determined by the commission, to include an assessment of electrical load trends for data centers, as provided. The bill would require the commission to annually publish the information submitted in an anonymized and aggregated format on its internet website.

The bill would require the owner or developer of a data center, upon applying for a discretionary permit, entitlement, or land use authorization required for the construction or operation of the data center, to submit to the applicable local agency, as defined, specified information, including the expected annual energy consumption, as specified, and the expected sound levels attributable to the operation of the data center, as provided. The bill would authorize the local agency to use this information for various purposes, including, but not limited to, land use planning, infrastructure planning, energy supply assessment, and environmental review.

The bill would prohibit the commission or a local agency from disclosing the information described above in a manner that would result in the disclosure of identifiable information or energy consumption data for a data center customer, except as provided. The bill would require the commission to establish a process for the owner of a data center to obtain an exemption from reporting data that would jeopardize trade secrets if disclosed.

Existing constitutional provisions require that a statute that limits the right of access to the meetings of public bodies or the writings of public officials and agencies be adopted with findings demonstrating the interest protected by the limitation and the need for protecting that interest.

This bill would make legislative findings to that effect.",426,2026-01-12,2026-08-17,2026-05-26,https://openstates.org/ca/bills/20252026/AB1577/,bill,Datacenters|reporting,lower,Bauer-Kahan,Bauer-Kahan,ocd-person/2918acca-40a2-4819-a79a-b2873c7895bc,Democratic,Democratic,1,1,1,24,Read second time. Ordered to third reading.,reading-1|reading-2|reading-3,passed_chamber_or_legislature,1,8,1,8,0,2026-08-13T07:00:00+00:00,pass,Do pass as amended,217,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260AB1577,,,not_needed_abstract_at_least_100_words,,yes,direct data-center reference,reporting/transparency|siting/permitting,conditional/regulatory,0.95,"Requires data center owners to submit location, size, and energy data to state commission and local agencies during permitting. Explicitly targets data center facilities for reporting and land use review.",require the owner of a data center... to submit specified information... upon applying for a discretionary permit,False,abstract,https://openstates.org/ca/bills/20252026/AB1577/,7db1c83a557ef0b05e22de751cd8ecd0ba0585ac2dfdfb88514cef84df8970f0,qwen.qwen3.5-122b,data-center-relevance-full-source-v2,classified,,4,0.8,"Adds mandatory reporting requirements during permitting, increasing administrative burdens and enabling local land use scrutiny that may slow development.","require the owner or developer of a data center, upon applying for a discretionary permit, entitlement, or land use authorization required for the construction or operation of the data center, to submit to the applicable local agency",True,qwen.qwen3.5-122b,data-center-supportiveness-v1,scored,
