variable,value,count
dc_relevant,yes,395
dc_relevant,uncertain,16
supportiveness_score,4.0,119
supportiveness_score,7.0,65
supportiveness_score,8.0,50
supportiveness_score,5.0,48
supportiveness_score,3.0,45
supportiveness_score,6.0,37
supportiveness_score,2.0,17
supportiveness_score,<missing>,16
supportiveness_score,1.0,12
supportiveness_score,9.0,2
supportiveness_confidence,0.9,259
supportiveness_confidence,0.8,72
supportiveness_confidence,0.7,26
supportiveness_confidence,<missing>,16
supportiveness_confidence,0.95,11
supportiveness_confidence,1.0,9
supportiveness_confidence,0.6,6
supportiveness_confidence,0.85,6
supportiveness_confidence,0.75,4
supportiveness_confidence,0.5,1
supportiveness_confidence,0.3,1
dc_source_scope,full_text,298
dc_source_scope,abstract,113
supportiveness_evidence_verified,False,283
supportiveness_evidence_verified,True,112
supportiveness_evidence_verified,<missing>,16
supportiveness_status,scored,395
supportiveness_status,manual_relevance_review_needed,16
supportiveness_error,<missing>,411
