state,bill_count,median_supportiveness,mean_supportiveness,advancement_rate,enacted,passed_at_least_one_chamber,first_observed_bill_date,last_observed_bill_date
California,15,4.0,4.866666666666666,1.0,1,13,2023-02-01 00:00:00+00:00,2026-02-20 00:00:00+00:00
Georgia,22,4.0,4.0,0.3181818181818182,1,7,2023-01-30 00:00:00+00:00,2026-02-25 00:00:00+00:00
Illinois,53,7.0,5.849056603773585,0.07547169811320754,2,3,2023-02-02 00:00:00+00:00,2026-05-18 00:00:00+00:00
Indiana,8,4.0,4.125,0.25,2,2,2025-01-08 00:00:00+00:00,2026-01-08 00:00:00+00:00
Kentucky,12,4.0,4.833333333333333,0.16666666666666666,0,2,,
Maine,1,2.0,2.0,1.0,1,1,2025-03-05 00:00:00+00:00,2025-03-05 00:00:00+00:00
Maryland,17,5.0,4.823529411764706,0.11764705882352941,0,2,2024-02-02 00:00:00+00:00,2026-02-23 00:00:00+00:00
Minnesota,44,4.5,5.0,0.045454545454545456,1,2,2023-02-09 00:00:00+00:00,2026-05-07 00:00:00+00:00
New York,46,4.5,4.956521739130435,0.13043478260869565,1,3,2023-01-04 00:00:00+00:00,2026-06-01 00:00:00+00:00
North Dakota,6,5.5,5.333333333333333,0.3333333333333333,1,2,2025-01-13 00:00:00+00:00,2025-01-20 00:00:00+00:00
Ohio,12,3.5,4.166666666666667,0.16666666666666666,1,2,,
Oklahoma,14,4.0,4.214285714285714,0.35714285714285715,1,2,2023-02-06 00:00:00+00:00,2026-02-02 00:00:00+00:00
Oregon,8,4.5,4.875,0.25,1,1,,
Texas,21,7.0,6.333333333333333,0.3333333333333333,3,7,2023-02-13 00:00:00+00:00,2025-03-14 00:00:00+00:00
Virginia,116,5.0,5.043103448275862,0.603448275862069,18,32,2023-01-09 00:00:00+00:00,2026-01-23 00:00:00+00:00
