term,coefficient
bottleneck,-0.9245605466085205
pm,-0.9171171742589749
size,-0.9152700543940481
tradingkey,-0.8879643291146854
referendum,-0.8677828517912669
coming,-0.8631196310544573
technology,-0.8592426842934726
business,-0.8493345564371415
big,-0.8493310989479608
apc,-0.8070223494290415
developed,-0.790405556082381
type,-0.7800633239344806
long,-0.7800385865089475
00,-0.777112677486595
new,-0.7740211897856363
attention,-0.7654334717033424
core,-0.7625520973423949
management,-0.7578542188493673
fabric,-0.7525390686310354
cooling systems,-0.7516160828533457
continued,0.8001659542469458
think,0.8025115676617407
step,0.8446551969857997
actually,0.8459259180907863
vlan,0.8513239276242575
concerns,0.8521351194566805
destroy,0.8548613390653597
enabling,0.860481826613939
reason,0.8924569731286951
guy,0.8958491502230856
just,0.8977024497991903
day,0.902953270460634
datacenter networking,0.9161828602880729
board,0.934347964854506
recall,0.9388020082109781
city,0.9622612178093408
datacenter rack,0.990022283759139
fiber,0.9912735950157242
today,1.1683335809319793
video,1.4632482083173126
