source_query,post_owner.id,owner_name,qualifying_rows,unique_post_ids,unique_normalized_texts,repeated_id_rows,repeated_text_rows
datacenter,1875493442882110,Router Nest,990,990,588,0,402
datacenter,1266293334641931,Networks Baseline,527,527,241,0,286
datacenter,1069782041227700,AG Flames Engineering Services,245,245,6,0,239
datacenter,835001042935923,Alpine Technologies,502,502,316,0,186
datacenter,826769429884201,IT- HUB-Official,153,153,35,0,118
datacenter,961734233091906,Yosra Mac,137,137,30,0,107
datacenter,25963597083291284,Network Edge,143,143,38,0,105
datacenter,811828287531955,"RRJM International Manpower Services, Inc.",103,103,8,0,95
datacenter,452577827832796,Guerrilla Publishing- Ron Durbin,305,305,216,0,89
datacenter,793754009399899,Networking with Khalid,89,89,9,0,80
datacenter,712562908525929,Donald Tresohlavy,94,94,18,0,76
datacenter,908889915029972,Mr IT&Networking,96,96,23,0,73
datacenter,1430450138518934,Mark T. Cu Unjieng,76,76,5,0,71
datacenter,990920270530522,Jonathon Smith,85,85,17,0,68
datacenter,1097531125828050,Stock in,123,123,65,0,58
datacenter,1698982094123900,Anonymous Group,73,73,28,0,45
datacenter,1140041601388914,Bebeto-Tech ,49,49,5,0,44
datacenter,1321108089471366,ROAD LIFE,62,62,19,0,43
datacenter,1009794515136499,𝗜𝗧 Vision,46,46,4,0,42
datacenter,1983530052210270,Collin County Journal,50,50,13,0,37
datacenter,1401494240865167,FY CLOUD,250,250,214,0,36
datacenter,972309122199343,NetworkDuck,40,40,5,0,35
datacenter,662221752655500,"Chemtrail ,Haarp, Blue Beam - Não Queremos Isso No Brasil",78,78,46,0,32
datacenter,687281954422449,Real Entertainment Network,33,33,1,0,32
datacenter,649870987231618,NationNews,40,40,8,0,32
datacenter,438816872148018,Radical Technologies,41,41,10,0,31
datacenter,2042837623129717,Networking with Israr,72,72,41,0,31
datacenter,1553210305313826,Krista McCatlady,40,40,11,0,29
datacenter,2855625587950176,Verdantwaly Industrial Corporation,35,35,7,0,28
datacenter,577670841656418,Farrukh Jamal Raja,31,31,4,0,27
datacenter,1033723291740912,Izzy Bella,45,45,19,0,26
datacenter,1636559808088313,UltraStream Fiber: india ,96,96,70,0,26
datacenter,476234638435942,HostDime India,91,91,66,0,25
datacenter,1295052266165216,Master Builder ,25,25,1,0,24
datacenter,2054748238724620,Best Stocks Now,41,41,18,0,23
datacenter,734058639566879,Eastlyn Hub,33,33,11,0,22
datacenter,1840259710696909,Besmart Porlas,25,25,3,0,22
datacenter,4047419098853188,ANIK Digital & Information Technology,27,27,6,0,21
datacenter,728293135938883,ChipEstimate.com,31,31,10,0,21
datacenter,2560673810969072,Linda Diana Bright,28,28,8,0,20
datacenter,1872524409839905,Global Banking And Finance Review,55,55,36,0,19
datacenter,1493052131427262,In These Times,23,23,4,0,19
datacenter,2634013696780520,FinanceisFun,21,21,2,0,19
datacenter,1317051503431409,BZ Watchdog,27,27,9,0,18
datacenter,709344595470161,Today Best Stock,41,41,23,0,18
datacenter,1179095496746126,ICLOUD NET,86,86,68,0,18
datacenter,421953117360950,Litech Pakistan,20,20,3,0,17
datacenter,1504766630100158,Paighamesindh,19,19,2,0,17
datacenter,469228179146349,Uttam Ghosh,21,21,4,0,17
datacenter,24664688063220169,Daniel J Perafan,21,21,5,0,16
datacenter,3023059638027252,ICLOUD TECH,72,72,57,0,15
datacenter,978881938339043,Diy Builds,16,16,1,0,15
datacenter,1067368404479423,Vertiv,536,536,522,0,14
datacenter,510505217979974,OchiLink,18,18,4,0,14
datacenter,1577676190036799,Justin Long,20,20,6,0,14
datacenter,3969291706678349,Online Cisco Networking Academy,24,24,10,0,14
datacenter,1655843188287767,Anritsu Company,41,41,28,0,13
datacenter,1755038781682925,The CV HUB Botswana,23,23,10,0,13
datacenter,8944693998921492,Alisha Lange,27,27,14,0,13
datacenter,878569777407412,SabrePC,21,21,9,0,12
datacenter,756455040764062,The Network DNA,25,25,13,0,12
datacenter,2117690905262195,cybershield,14,14,2,0,12
datacenter,1138713191161164,Kashif Ali,16,16,4,0,12
datacenter,1300833711986894,Infinity Fiber net,44,44,32,0,12
datacenter,8504814909599837,Legrand,14,14,3,0,11
datacenter,548391438026416,Jonathan Crain,12,12,1,0,11
datacenter,263974990106144,Appalachia Insider,13,13,2,0,11
datacenter,1205138104771480,April Dawn,16,16,5,0,11
datacenter,1804812166840983,Naukari Hub,14,14,3,0,11
datacenter,715998517440964,Elizabeth Jones,20,20,9,0,11
datacenter,1953590872013287,The Tree Rv LLC,26,26,16,0,10
datacenter,9686444771447660,Rebecca Lynn,12,12,2,0,10
datacenter,314130668149109,World business outlook,30,30,20,0,10
datacenter,1900280440694576,Jisha Finance,20,20,10,0,10
datacenter,1192087165500545,Pi Datacenters,61,61,51,0,10
datacenter,1293059835624771,K&C love story,11,11,1,0,10
datacenter,2634827790236128,Courtney Taylor Glover,14,14,4,0,10
datacenter,1059812412898995,Roderick Rentap,11,11,1,0,10
datacenter,468274932577146,Lewis Sokolowski,10,10,1,0,9
datacenter,283624574777681,CDW Corporation,18,18,9,0,9
datacenter,1241217427282961,Cloud Dosage,20,20,11,0,9
datacenter,1173604374104497,CloudGivers,76,76,67,0,9
datacenter,3968626326740667,Cyber Security For Computer & AI Hub,51,51,42,0,9
datacenter,2490718621348827,tallguytycoon,12,12,3,0,9
datacenter,1245553736452281,Interesting Facts,11,11,2,0,9
datacenter,876882134724039,Selvanathan Selvathashan,10,10,1,0,9
datacenter,2052240431837314,Teri Ann Hourihan for AZ Governor,13,13,4,0,9
datacenter,504159572180328,Izanau - Jobs in Japan Made Simple,10,10,2,0,8
datacenter,996617265350472,Money Hustler,11,11,3,0,8
datacenter,1233576135497146,SELVA Ai,9,9,1,0,8
datacenter,324701133429539,The MES Times,16,16,8,0,8
datacenter,1164836862168827,Nisar Younas,9,9,1,0,8
datacenter,1590549334950008,MSK Updates,12,12,4,0,8
datacenter,629871406311896,Rob Spirling,9,9,1,0,8
datacenter,1431604488586174,Hillbilly Crime,22,22,14,0,8
datacenter,1335014228338653,AREEJ KIDS TV ,9,9,1,0,8
datacenter,2126969798048786,Cloud Based Technology,16,16,8,0,8
datacenter,1722408261733925,Developer Blz,9,9,1,0,8
datacenter,3036998076443328,HBNNews24,9,9,1,0,8
datacenter,2631469523919637,Nik Harwell,8,8,1,0,7
datacenter,1748921062389825,Jayden Weekes,73,73,66,0,7
datacenter,996361485605902,Space World,11,11,4,0,7
datacenter,3860509287517997,NRI Page,10,10,3,0,7
