query,variable,value,count
datacenter,lang,en,24947
datacenter,lang,th,11489
datacenter,lang,vi,3654
datacenter,lang,es,3298
datacenter,lang,fr,3144
datacenter,lang,ar,2814
datacenter,lang,pt,2680
datacenter,lang,<missing>,2305
datacenter,lang,it,1406
datacenter,lang,hi,1135
datacenter,lang,bn,978
datacenter,lang,km,938
datacenter,lang,zh,756
datacenter,lang,id,608
datacenter,lang,sv,575
datacenter,lang,de,483
datacenter,lang,te,429
datacenter,lang,nl,427
datacenter,lang,ro,382
datacenter,lang,my,337
datacenter,lang,hu,267
datacenter,lang,ne,261
datacenter,lang,da,254
datacenter,lang,ms,220
datacenter,lang,ur,210
datacenter,lang,mr,153
datacenter,lang,gu,144
datacenter,lang,tl,143
datacenter,lang,ta,128
datacenter,lang,el,121
datacenter,lang,tr,117
datacenter,lang,pl,104
datacenter,lang,ml,98
datacenter,lang,sq,80
datacenter,lang,cs,78
datacenter,lang,kn,72
datacenter,lang,si,48
datacenter,lang,ja,46
datacenter,lang,uk,42
datacenter,lang,or,42
datacenter,lang,mn,41
datacenter,lang,ha,39
datacenter,lang,bg,39
datacenter,lang,he,35
datacenter,lang,pa,34
datacenter,lang,fa,32
datacenter,lang,ru,31
datacenter,lang,am,28
datacenter,lang,az,26
datacenter,lang,mk,26
datacenter,lang,so,22
datacenter,lang,ht,20
datacenter,lang,cb,19
datacenter,lang,fi,17
datacenter,lang,ps,13
datacenter,lang,qd,13
datacenter,lang,hr,12
datacenter,lang,lo,11
datacenter,lang,mg,11
datacenter,lang,no,11
datacenter,lang,as,10
datacenter,lang,hy,10
datacenter,lang,su,10
datacenter,lang,ka,10
datacenter,lang,sw,8
datacenter,lang,om,8
datacenter,lang,kk,7
datacenter,lang,lv,7
datacenter,lang,mos,6
datacenter,lang,q3,6
datacenter,lang,ko,6
datacenter,lang,sl,6
datacenter,lang,qh,6
datacenter,lang,sk,5
datacenter,lang,gl,4
datacenter,lang,xh,4
datacenter,lang,bs,4
datacenter,lang,li,4
datacenter,lang,zu,4
datacenter,lang,qm,4
datacenter,lang,sd,4
datacenter,lang,ci,3
datacenter,lang,ns,3
datacenter,lang,ku,3
datacenter,lang,ff,3
datacenter,lang,ca,2
datacenter,lang,lt,2
datacenter,lang,wy,2
datacenter,lang,jv,2
datacenter,lang,sn,2
datacenter,lang,sc,2
datacenter,lang,la,1
datacenter,lang,af,1
datacenter,lang,ti,1
datacenter,lang,sr,1
datacenter,lang,ln,1
