month,relevant_post_count,policy_related_post_count,unique_owners,month_over_month_percent_change,abrupt_absolute_change_over_100_percent,possible_repeated_exact_count_cap,partial_month
2024-01,495,13,167,,False,False,False
2024-02,445,5,161,-10.1010101010101,False,False,False
2024-03,416,9,164,-6.516853932584265,False,False,False
2024-04,478,9,165,14.903846153846146,False,False,False
2024-05,537,16,233,12.343096234309625,False,False,False
2024-06,440,22,187,-18.063314711359403,False,False,False
2024-07,416,33,164,-5.454545454545457,False,False,False
2024-08,447,12,164,7.451923076923084,False,False,False
2024-09,419,9,168,-6.2639821029082725,False,False,False
2024-10,498,10,193,18.85441527446301,False,False,False
2024-11,385,32,200,-22.69076305220884,False,False,False
2024-12,306,6,165,-20.519480519480517,False,False,False
2025-01,443,32,245,44.77124183006536,False,False,False
2025-02,374,11,213,-15.575620767494359,False,False,False
2025-03,434,13,200,16.042780748663098,False,False,False
2025-04,451,19,233,3.9170506912442393,False,False,False
2025-05,451,14,227,0.0,False,False,False
2025-06,399,19,201,-11.529933481152998,False,False,False
2025-07,694,27,223,73.93483709273183,False,False,False
2025-08,536,53,277,-22.76657060518732,False,False,False
2025-09,623,76,297,16.23134328358209,False,False,False
2025-10,753,79,385,20.86677367576244,False,False,False
2025-11,694,40,398,-7.835325365205847,False,False,False
2025-12,703,108,352,1.2968299711815456,False,False,False
2026-01,644,103,307,-8.39260312944523,False,False,False
2026-02,814,129,410,26.39751552795031,False,False,False
2026-03,1023,122,499,25.67567567567568,False,False,False
2026-04,1400,134,550,36.85239491691104,False,False,False
2026-05,2507,452,949,79.07142857142857,False,False,False
2026-06,2714,581,1082,8.25688073394495,False,False,False
2026-07,2767,593,1158,1.952837140751651,False,False,False
2026-08,1209,235,649,-56.306469100108416,False,False,True
