month,relevant_post_count,policy_related_post_count,unique_owners,unique_normalized_texts,median_engagement,total_engagement,duplicate_rate,unique_texts_3_month_mean,policy_share
2024-01,495,13,167,484,6.0,17127.0,0.07474747474747474,484.0,0.026262626262626262
2024-02,445,5,161,429,8.0,20636.0,0.10786516853932585,456.5,0.011235955056179775
2024-03,416,9,164,407,7.0,15798.0,0.0889423076923077,440.0,0.021634615384615384
2024-04,478,9,165,459,10.0,34536.0,0.10669456066945607,431.6666666666667,0.01882845188284519
2024-05,537,16,233,523,10.0,70663.0,0.0856610800744879,463.0,0.0297951582867784
2024-06,440,22,187,425,9.5,30301.0,0.09090909090909091,469.0,0.05
2024-07,416,33,164,369,3.0,10244.0,0.21153846153846154,439.0,0.07932692307692307
2024-08,447,12,164,401,2.0,29835.0,0.18568232662192394,398.3333333333333,0.026845637583892617
2024-09,419,9,168,403,3.0,43021.0,0.12410501193317422,391.0,0.021479713603818614
2024-10,498,10,193,466,4.0,24389.0,0.1465863453815261,423.3333333333333,0.020080321285140562
2024-11,385,32,200,357,4.0,23364.0,0.18441558441558442,408.6666666666667,0.08311688311688312
2024-12,306,6,165,291,4.0,22490.0,0.16339869281045752,371.3333333333333,0.0196078431372549
2025-01,443,32,245,386,4.0,767198.0,0.23702031602708803,344.6666666666667,0.07223476297968397
2025-02,374,11,213,336,3.0,18466.0,0.21390374331550802,337.6666666666667,0.029411764705882353
2025-03,434,13,200,413,5.0,26820.0,0.12442396313364056,378.3333333333333,0.029953917050691243
2025-04,451,19,233,407,7.0,72140.0,0.21729490022172948,385.3333333333333,0.04212860310421286
2025-05,451,14,227,410,5.0,57216.0,0.1951219512195122,410.0,0.031042128603104215
2025-06,399,19,201,361,5.0,34802.0,0.19548872180451127,392.6666666666667,0.047619047619047616
2025-07,694,27,223,527,19.0,77292.0,0.45677233429394815,432.6666666666667,0.03890489913544669
2025-08,536,53,277,438,9.5,77011.0,0.30783582089552236,442.0,0.09888059701492537
2025-09,623,76,297,489,6.0,107769.0,0.31942215088282505,484.6666666666667,0.12199036918138041
2025-10,753,79,385,615,9.0,140667.0,0.28818061088977426,514.0,0.1049136786188579
2025-11,694,40,398,572,7.0,92287.0,0.2723342939481268,558.6666666666666,0.05763688760806916
2025-12,703,108,352,593,16.0,190129.0,0.2574679943100996,593.3333333333334,0.15362731152204837
2026-01,644,103,307,503,15.0,331827.0,0.32608695652173914,556.0,0.15993788819875776
2026-02,814,129,410,665,11.5,249887.0,0.2714987714987715,587.0,0.15847665847665848
2026-03,1023,122,499,832,14.0,240366.0,0.26295210166177907,666.6666666666666,0.11925708699902249
2026-04,1400,134,550,938,7.0,554211.0,0.415,811.6666666666666,0.09571428571428571
2026-05,2507,452,949,1782,17.0,1311106.0,0.3673713601914639,1184.0,0.18029517351416036
2026-06,2714,581,1082,2016,15.0,1234987.0,0.3422991893883567,1578.6666666666667,0.21407516580692704
2026-07,2767,593,1158,2071,12.0,1423191.0,0.32959884351282975,1956.3333333333333,0.21431152873147813
2026-08,1209,235,649,946,11.0,400688.0,0.28287841191067,1677.6666666666667,0.19437551695616212
