sample,frame,n,percent
All Scored Bills,Energy and utility costs,395,46.835443037974684
All Scored Bills,Water and environmental effects,395,20.506329113924053
All Scored Bills,Economic development and jobs,395,21.012658227848103
All Scored Bills,"Taxes, incentives, and subsidies",395,28.354430379746837
All Scored Bills,Regulation and community control,395,24.050632911392405
All Scored Bills,AI growth and technological competition,395,7.341772151898734
"Bills Introduced, 2024–2026",Energy and utility costs,314,46.496815286624205
"Bills Introduced, 2024–2026",Water and environmental effects,314,22.611464968152866
"Bills Introduced, 2024–2026",Economic development and jobs,314,20.382165605095544
"Bills Introduced, 2024–2026","Taxes, incentives, and subsidies",314,28.02547770700637
"Bills Introduced, 2024–2026",Regulation and community control,314,25.477707006369428
"Bills Introduced, 2024–2026",AI growth and technological competition,314,7.961783439490445
"Facebook Posts, 'datacenter' Query, 2024–2026",Energy and utility costs,24915,31.08167770419426
"Facebook Posts, 'datacenter' Query, 2024–2026",Water and environmental effects,24915,17.114188240016055
"Facebook Posts, 'datacenter' Query, 2024–2026",Economic development and jobs,24915,29.893638370459563
"Facebook Posts, 'datacenter' Query, 2024–2026","Taxes, incentives, and subsidies",24915,2.777443307244632
"Facebook Posts, 'datacenter' Query, 2024–2026",Regulation and community control,24915,10.455548866144893
"Facebook Posts, 'datacenter' Query, 2024–2026",AI growth and technological competition,24915,51.59943808950431
"Facebook Posts, 'datacenter' Query, April–August 2026",Energy and utility costs,10597,37.12371425875248
"Facebook Posts, 'datacenter' Query, April–August 2026",Water and environmental effects,10597,21.97791827875814
"Facebook Posts, 'datacenter' Query, April–August 2026",Economic development and jobs,10597,31.85807303953949
"Facebook Posts, 'datacenter' Query, April–August 2026","Taxes, incentives, and subsidies",10597,4.680569972633764
"Facebook Posts, 'datacenter' Query, April–August 2026",Regulation and community control,10597,17.165235443993584
"Facebook Posts, 'datacenter' Query, April–August 2026",AI growth and technological competition,10597,51.08993111257904
