bill_id,state,event_type,event_date,relative_month,facebook_policy_posts
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,introduction,2024-02-05 00:00:00+00:00,-3,0.0
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,introduction,2024-02-05 00:00:00+00:00,-2,0.0
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,introduction,2024-02-05 00:00:00+00:00,-1,0.0
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,introduction,2024-02-05 00:00:00+00:00,0,0.0
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,introduction,2024-02-05 00:00:00+00:00,1,0.0
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,introduction,2024-02-05 00:00:00+00:00,2,0.0
ocd-bill/421d092b-7dbd-4f84-9fe4-90ba58b5b95b,California,introduction,2024-02-05 00:00:00+00:00,3,0.0
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,introduction,2024-02-15 00:00:00+00:00,-3,0.0
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,introduction,2024-02-15 00:00:00+00:00,-2,0.0
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,introduction,2024-02-15 00:00:00+00:00,-1,0.0
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,introduction,2024-02-15 00:00:00+00:00,0,0.0
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,introduction,2024-02-15 00:00:00+00:00,1,0.0
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,introduction,2024-02-15 00:00:00+00:00,2,0.0
ocd-bill/2d6d52a5-9a26-47d9-b583-2e61f397c5cd,California,introduction,2024-02-15 00:00:00+00:00,3,0.0
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,introduction,2025-01-07 00:00:00+00:00,-3,0.0
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,introduction,2025-01-07 00:00:00+00:00,-2,0.0
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,introduction,2025-01-07 00:00:00+00:00,-1,1.0
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,introduction,2025-01-07 00:00:00+00:00,0,0.0
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,introduction,2025-01-07 00:00:00+00:00,1,0.0
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,introduction,2025-01-07 00:00:00+00:00,2,0.0
ocd-bill/3b3c7eff-89ae-45c9-a5a1-adcec799b331,California,introduction,2025-01-07 00:00:00+00:00,3,1.0
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,introduction,2025-01-08 00:00:00+00:00,-3,0.0
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,introduction,2025-01-08 00:00:00+00:00,-2,0.0
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,introduction,2025-01-08 00:00:00+00:00,-1,1.0
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,introduction,2025-01-08 00:00:00+00:00,0,0.0
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,introduction,2025-01-08 00:00:00+00:00,1,0.0
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,introduction,2025-01-08 00:00:00+00:00,2,0.0
ocd-bill/fd340120-32d7-4698-b737-9761b4b4c274,California,introduction,2025-01-08 00:00:00+00:00,3,1.0
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,introduction,2025-01-08 00:00:00+00:00,-3,0.0
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,introduction,2025-01-08 00:00:00+00:00,-2,0.0
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,introduction,2025-01-08 00:00:00+00:00,-1,1.0
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,introduction,2025-01-08 00:00:00+00:00,0,0.0
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,introduction,2025-01-08 00:00:00+00:00,1,0.0
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,introduction,2025-01-08 00:00:00+00:00,2,0.0
ocd-bill/c84756d8-3906-4ae6-9e06-9b98d210d6f3,California,introduction,2025-01-08 00:00:00+00:00,3,1.0
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,introduction,2025-02-20 00:00:00+00:00,-3,0.0
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,introduction,2025-02-20 00:00:00+00:00,-2,1.0
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,introduction,2025-02-20 00:00:00+00:00,-1,0.0
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,introduction,2025-02-20 00:00:00+00:00,0,0.0
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,introduction,2025-02-20 00:00:00+00:00,1,0.0
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,introduction,2025-02-20 00:00:00+00:00,2,1.0
ocd-bill/d6bdcea4-eaef-46f4-9574-fc86eb56a6c1,California,introduction,2025-02-20 00:00:00+00:00,3,0.0
