event_type,relative_month,events,events_with_any_posts,median_posts,mean_posts,standard_error
introduction,-3,314,116,0.0,1.0955414012738853,0.12251202210120882
introduction,-2,314,83,0.0,0.5732484076433121,0.06681960151315473
introduction,-1,314,107,0.0,1.21656050955414,0.14119215996936824
introduction,0,314,159,1.0,2.286624203821656,0.24451833666210407
introduction,1,314,169,1.0,2.299363057324841,0.21751185882168086
introduction,2,314,174,2.0,2.929936305732484,0.21724502988788988
introduction,3,314,151,0.0,5.022292993630574,0.6034606785804938
latest_recorded_passage,-3,57,21,0.0,1.0701754385964912,0.353871931723765
latest_recorded_passage,-2,57,27,0.0,1.7719298245614035,0.30862450912291306
latest_recorded_passage,-1,57,28,0.0,1.7017543859649122,0.2940139123017924
latest_recorded_passage,0,57,33,2.0,3.508771929824561,0.879351979668171
latest_recorded_passage,1,57,27,0.0,7.508771929824562,2.059899200489288
latest_recorded_passage,2,57,32,1.0,5.754385964912281,1.354533995312644
latest_recorded_passage,3,57,33,1.0,6.771929824561403,1.5033416295206836
