month,relevant_posts,policy_posts,unique_owners,introduction,latest_recorded_passage
2024-01,495,13,167,39.0,0.0
2024-02,445,5,161,5.0,3.0
2024-03,416,9,164,2.0,3.0
2024-04,478,9,165,1.0,1.0
2024-05,537,16,233,1.0,2.0
2024-06,440,22,187,0.0,0.0
2024-07,416,33,164,0.0,0.0
2024-08,447,12,164,0.0,0.0
2024-09,419,9,168,1.0,0.0
2024-10,498,10,193,1.0,0.0
2024-11,385,32,200,1.0,0.0
2024-12,306,6,165,1.0,0.0
2025-01,443,32,245,47.0,0.0
2025-02,374,11,213,30.0,2.0
2025-03,434,13,200,15.0,4.0
2025-04,451,19,233,4.0,7.0
2025-05,451,14,227,3.0,3.0
2025-06,399,19,201,2.0,3.0
2025-07,694,27,223,0.0,0.0
2025-08,536,53,277,0.0,0.0
2025-09,623,76,297,4.0,3.0
2025-10,753,79,385,6.0,0.0
2025-11,694,40,398,0.0,0.0
2025-12,703,108,352,6.0,0.0
2026-01,644,103,307,55.0,0.0
2026-02,814,129,410,55.0,6.0
2026-03,1023,122,499,13.0,8.0
2026-04,1400,134,550,12.0,1.0
2026-05,2507,452,949,8.0,10.0
2026-06,2714,581,1082,2.0,1.0
2026-07,2767,593,1158,0.0,0.0
2026-08,1209,235,649,0.0,0.0
