bill_id,state,identifier,title,score_numeric,advanced,derived_status,first_action_date,latest_passage_date,latest_action_date
ocd-bill/96888905-6577-45e4-8a97-9c306d5b2688,Georgia,HB 101,Income tax; change certain definitions,4.0,1,passed_chamber_or_legislature,2023-01-30 00:00:00+00:00,2024-03-26 00:00:00+00:00,2024-03-26 00:00:00+00:00
ocd-bill/6244beb4-eb2a-413c-9a83-bb6bfe38e61c,Georgia,HB 1192,Sales and use tax; certain high-technology data center equipment; prohibit issuance of new certificates of exemption,4.0,1,enacted,2024-02-08 00:00:00+00:00,2024-03-14 00:00:00+00:00,2024-05-07 00:00:00+00:00
ocd-bill/b3079a22-a637-4e05-817b-cd6387718710,Georgia,SB 34,Public Service Commission; costs incurred by an electric utility as a result of providing electric services to commercial data centers from being included in any rates; prohibit,4.0,0,active_in_committee_or_chamber,2025-01-27 00:00:00+00:00,,2026-02-25 00:00:00+00:00
ocd-bill/d384abee-db65-4696-9570-370d88959ac4,Georgia,HB 528,Revenue and taxation; require certain high resource use facilities to provide disclosures regarding community impact and energy and water usage,4.0,0,introduced,2025-02-19 00:00:00+00:00,,2025-02-21 00:00:00+00:00
ocd-bill/595044fd-9b2b-499a-b98a-53fa27423caa,Georgia,HB 559,Sales and use tax; exemption for certain high-technology data center equipment; revise sunset date,7.0,0,introduced,2025-02-20 00:00:00+00:00,,2025-02-21 00:00:00+00:00
ocd-bill/c4ff0d2f-4c9b-4970-b74a-8f237aefe0ab,Georgia,SR 424,Senate Study Committee on Franchise Fees; create,5.0,1,passed_chamber_or_legislature,2025-03-20 00:00:00+00:00,2025-04-02 00:00:00+00:00,2025-04-02 00:00:00+00:00
ocd-bill/4de54aa0-7fe1-4232-b0a6-42d85d11c0d9,Georgia,HR 755,House Study Committee on Electric Franchise Fees for Unincorporated Areas; create,5.0,0,introduced,2025-03-27 00:00:00+00:00,,2025-03-31 00:00:00+00:00
ocd-bill/efdfd9fd-21d8-4f71-8829-62281bf4277c,Georgia,SR 482,Georgia Public Service Commission (PSC); create a study committee; urge,6.0,1,passed_chamber_or_legislature,2025-03-27 00:00:00+00:00,2026-03-31 00:00:00+00:00,2026-03-31 00:00:00+00:00
ocd-bill/87bb32e1-fbc9-4355-8fec-42fe39a06250,Georgia,SB 408,State Sales and Use Taxes; data center equipment sales and use tax exemption; advance the sunset date,7.0,0,active_in_committee_or_chamber,2026-01-15 00:00:00+00:00,,2026-01-16 00:00:00+00:00
ocd-bill/3d0d7fa7-831c-47f7-b7a9-315ea60d3654,Georgia,SB 410,State Sales and Use Taxes; the data center equipment sales and use tax exemption; repeal,3.0,1,passed_chamber_or_legislature,2026-01-15 00:00:00+00:00,2026-03-06 00:00:00+00:00,2026-03-10 00:00:00+00:00
