state,frame,policy_posts,percent_matching
Virginia,Energy and utility costs,103,78.64077669902912
Virginia,Water and environmental effects,103,71.84466019417476
Virginia,Economic development and jobs,103,64.07766990291263
Virginia,"Taxes, incentives, and subsidies",103,33.980582524271846
Virginia,Regulation and community control,103,71.84466019417476
Virginia,AI growth and technological competition,103,65.0485436893204
Georgia,Energy and utility costs,129,82.17054263565892
Georgia,Water and environmental effects,129,79.84496124031007
Georgia,Economic development and jobs,129,74.4186046511628
Georgia,"Taxes, incentives, and subsidies",129,23.25581395348837
Georgia,Regulation and community control,129,67.44186046511628
Georgia,AI growth and technological competition,129,75.96899224806202
New York,Energy and utility costs,68,83.82352941176471
New York,Water and environmental effects,68,82.35294117647058
New York,Economic development and jobs,68,80.88235294117648
New York,"Taxes, incentives, and subsidies",68,50.0
New York,Regulation and community control,68,91.17647058823529
New York,AI growth and technological competition,68,83.82352941176471
