state,id,creation_time,total_engagement,text
Georgia,1724544458830346,2026-07-17 23:36:52+00:00,16590.0,"THEY’RE TAKING FAMILIES’ HOMES… TO POWER AI DATA CENTERS.

I’ve been following Ansley Brown on Facebook for a while now, and I want to take a moment to applaud her for refusing to let this happen quietly.

Her family’s story is heartbreaking.

Imagine being told the home your family has cherished for decades - the place where you grew up and where memories were made - has to go.

Not for a school.
Not for a hospital.
Not for a road.

To help power AI data centers.

According to Georgia Power, a new 35-mile transmission line is needed to meet growing electricity demand. The utility estimates 70-80% of the electricity on that line will serve data centers, with the remaining capacity supporting residential and commercial growth. More than 300 properties are being acquired, and some homeowners say they were told that if they didn’t sell voluntarily, eminent domain could be used.

Ansley has become a voice for families who feel they don’t have one. Even though her own family’s property is being sold, she’s continuing to speak out so others don’t have to experience the same thing.

It takes courage to stand up against a billion-dollar company especially when the odds are stacked against you.

What would you do if someone knocked on your door and told you your family’s home was being taken to power the AI boom?

#ai #datacenter #development #animals #wildlife #water #georgia #news"
Georgia,2584906828609849,2026-07-23 03:00:21+00:00,12187.0,"Georgia residents are fighting to save their county from massive data center campuses.

Organizers in Coweta County have collected some 6,500 signatures toward a goal of about 14,000, which could allow residents to challenge the county ordinance permitting Project Sail.

The development would transform more than 800 acres of rural land southwest of Atlanta into an industrial site featuring nine data center buildings totaling 4.34 million square feet.

If the petition succeeds, Coweta County could become only the third county in Georgia history to stage this type of referendum.

Residents say they are concerned about construction runoff entering nearby waterways, along with the project’s potential effects on groundwater, electricity demand, noise, wildlife and the rural character of the area.

A local river advocate said sediment washing from the construction site could alter water temperatures and harm fish and other aquatic life.

The campaign has drawn people who had never previously participated in local politics.

Many say they became involved after feeling that county commissioners ignored growing public opposition to the development.

Two-thirds of Coweta County voters supported Donald Trump, highlighting how resistance to data centers is increasingly crossing traditional political divisions.

The campaign comes as opposition to AI infrastructure grows across the United States, particularly in rural communities where residents say developers target areas with cheaper land and looser zoning rules.

At least five data centers are currently planned for Coweta County.

Organizers say their goal is not only to stop Project Sail, but also to prohibit additional data centers and cryptocurrency mining operations from moving forward.

“We’re trying to be heard,” one resident said.

Learn more:
""A Georgia datacenter threatens local rivers. Residents are joining a national push to stop it."" The Guardian

📸Credit: Ansley Brown/X"
Georgia,1510610217273680,2026-05-27 10:50:49+00:00,9643.0,"BREAKING: 🇺🇸 Amid an unprecedented energy crisis and the rapid buildout of artificial intelligence infrastructure, progressive lawmakers have unveiled a new policy to place a moratorium on the construction of AI datacenters.

“Despite the extraordinary importance of this issue and its impact on every man, woman and child in this country, AI has received far too little serious discussion here in our nation’s capital,” Sanders told reporters on Wednesday. “I fear that Congress is totally unprepared for the magnitude of the changes that are already taking place.”

The policy, announced by Bernie Sanders, an independent senator from Vermont, and Alexandria Ocasio-Cortez, a New York Democratic representative, aims to ensure the AI boom protects the environment and communities, and benefits workers instead of harming them. A temporary ban, the lawmakers say, would give the US government time to create strong federal safeguards for AI, which is “affecting everything from our economy and wellbeing to our democracy, warfare and our kids’ education”.

“AI and robotics are creating the most sweeping technological revolution in the history of humanity,” Sanders said in an emailed statement. “The scale, scope, and speed of that change is unprecedented.”

The moratorium proposed in Sanders’s Senate bill would go into effect immediately if passed, and remain in place until laws are enacted to curb datacenters’ harmful effects. That includes quelling their climate and environmental impacts, ensuring they do not push up utility costs, preventing job displacement and “ensuring the wealth generated by [AI] companies is shared with the people of the United States”.

It would also impose a ban on the export of computing hardware, such as AI chips – or specialized processors – to any country without such protections on the books, including China.

Ocasio-Cortez will introduce a companion bill in the House.

The proposal comes as calls to halt AI datacenter expansion have gone from the margins to the mainstream. Since August 2025, towns and counties across the country – including in Missouri, Indiana, Georgia and North Carolina – have passed temporary bans on datacenter buildout. At least 11 states are now considering similar policies, according to Good Jobs First, a watchdog group tracking economic development.

In December, more than 200 advocacy groups led by the national environmental organization Food and Water Watch also sent House and Senate leaders a letter calling for a federal datacenter moratorium, citing concerns about the sector’s impacts on electricity bills and the climate crisis. Sanders became the first lawmaker to back their demand and it has since gained steam with progressive lawmakers such as Maxwell Frost, a Florida representative, and Pramila Jayapal, a Washington representative.

“A few months ago, when I proposed a moratorium on AI datacenters, it was perceived as a radical, fringe and Luddite idea,” Sanders wrote in a February statement. “Well, not any more.”

Survey data shows Americans are increasingly worried about AI’s many impacts. A June 2025 poll found that half of US adults are more concerned than excited about its increasing use in daily life, while a December poll found 60% of Americans believe the sector should be better regulated to limit its potential negative effects on society.

Voters are also troubled about the effect of datacenters on increased utility costs and energy consumption. When a February poll asked participants to select the more concerning issue in randomized contests against datacenter-related issues, they selected utility costs 64% of the time and energy consumption 59% of the time.

Datacenters’ need for vast quantities of water to cool down equipment has also sparked controversy, especially in drought-ridden areas. So have the facilities’ climate effects. Though AI proponents claim the sector can help to lower emissions, an October report from green group Center for Biological Diversity estimates that if current trends continue, datacenters may account for nearly half of all US emissions from the power sector that current national climate targets allow.

Datacenters’ electricity demand is also raising electricity prices in some areas. One Bloomberg analysis found that some regions with especially high concentrations of datacenters have already seen power costs surge by 267% over the past five years."
Georgia,1527857915472549,2026-06-07 23:11:01+00:00,7253.0,"Somebody forgot to tell Big Tech that Americans were going to fight back. And now they're finding out the hard way.
Here's a headline the AI industry absolutely did not want trending: almost half of the data centers that were supposed to go up in 2026 have been delayed or cancelled outright. Not because the money ran out. Not because the technology failed. Because regular people in regular towns stood up at city council meetings and said no — and it actually worked.
Let that sink in for a second.
According to research from Sightline Climate, of the 12 to 16 gigawatts of new capacity that was announced for 2026, only about one-third — roughly 5 gigawatts — is actually under active construction right now. The rest? Stalled. Shelved. Cancelled. Sitting in a boardroom somewhere while executives try to figure out what went wrong.
What went wrong is pretty simple: they forgot that America still has neighborhoods in it.
And here's the part that should surprise people — the bottleneck isn't money. These companies have more money than most countries. It's not microchips either. The thing stopping billions of dollars of AI infrastructure dead in its tracks is a shortage of transformers, switchgear, and industrial batteries. The basic electrical plumbing that power companies have been ordering for decades and can't get fast enough. You can have all the ambition in the world, but if you can't get a transformer delivered, your data center is just a very expensive concrete slab.
Combined that with communities saying no — loudly, repeatedly, and in writing — and you've got a genuine slowdown in one of the most aggressive infrastructure buildouts in American history.
From Michigan to Maine, Georgia to North Carolina, local city councils and state lawmakers have been passing moratoriums to halt these facilities from going up in their communities. The complaints are consistent everywhere: strained power grids, rising electricity bills, and water consumption so massive it makes people's jaws drop when they see the numbers. One large data center can use as much water per day as a small city. That's not a figure the press releases tend to include.
And the people raising these concerns aren't fringe activists. They're homeowners, parents, small business owners, and local officials who did the math and realized that a facility that creates maybe 30 permanent jobs while tripling the local power draw is not the economic miracle it's being sold as.
Now — and this matters — this doesn't mean AI is going away. The capital behind this industry is almost incomprehensible, and the geopolitical pressure to build faster, not slower, is very real. There is a genuine global race happening right now and countries are not pumping the brakes. The opposition isn't going to stop AI development altogether.
But what it CAN do — what it IS doing — is force better decisions about where this infrastructure lands, how it's built, and who gets a seat at the table when those decisions are made. That's not a small thing. That's actually exactly how democracy is supposed to work.
Regular people just slowed down a multi-billion dollar industry that assumed it could build wherever it wanted without consequence. It didn't happen in a courtroom. It didn't happen in Washington. It happened in city halls across America.
Keep showing up. Apparently it works.
#AIDataCenters #TechNews #BigTechVsAmericans #AIInfrastructure #DataCenter #EnergyNews #CommunityPower #AINews #AmericaNews #NewsAndFacts"
Georgia,1046016134497260,2026-07-27 18:00:05+00:00,3226.0,"New research suggests the AI data center boom is moving slower than many expected.

Sightline Climate says only about one-third of new 2026 data center capacity is currently under construction.

Out of 12 to 16 gigawatts announced, roughly 5 gigawatts has reached active building.

The biggest barriers are no longer just money or advanced chips.

Developers are facing shortages of transformers, switchgear, battery systems, and other electrical infrastructure.

They are also encountering growing resistance from local communities worried about power, water, and utility costs.

States like Michigan, Maine, Georgia, and North Carolina are seeing moratoriums, delays, or closer reviews.

AI expansion is unlikely to stop, but local pushback may shape where and how these projects are built.

Should communities have more say before massive AI data centers move forward? 

#AIDataCenters #datacenter"
New York,835998039401128,2025-12-27 02:00:07+00:00,47131.0,"AI systems in 2025 released as much CO₂ as the entire city of New York.

That’s the estimate from new research by Dutch analyst Alex de Vries-Gao, who has published the first attempt to isolate the environmental footprint of AI specifically — not just datacenters in general. 

The numbers are staggering. He estimates that AI systems emitted up to 80 million metric tons of CO₂ this year alone. That’s more than 8% of all aviation emissions, and comparable to one of the world’s largest cities.

And it’s not just carbon. AI also consumes enormous amounts of water, largely to cool the massive servers that power large language models and image generators. In 2025, de Vries-Gao found that AI-related water use alone exceeded 765 billion liters — more than all bottled water consumed globally. It’s also more than a third higher than previous estimates for all datacenter water use combined.

The power demand is growing fast. The International Energy Agency reports that AI-focused datacenters now use as much electricity as aluminum smelters — and usage is expected to double by 2030. One planned hyperscale datacenter in the UK is projected to emit over 180,000 tons of CO₂ per year — more than 24,000 homes.

In places like India, datacenter expansion is being fueled by diesel backup power, raising fears of even dirtier emissions. And while companies like Google report modest efficiency gains, environmental disclosures remain incomplete. Many fail to account for water or upstream energy impacts.

The convenience of AI may feel weightless, but it has a real footprint. One we’re barely measuring — and already struggling to control.

Learn more:
""AI boom has caused same CO2 emissions in 2025 as New York City, report claims."" The Guardian, 2025."
New York,1510610217273680,2026-05-27 10:50:49+00:00,9643.0,"BREAKING: 🇺🇸 Amid an unprecedented energy crisis and the rapid buildout of artificial intelligence infrastructure, progressive lawmakers have unveiled a new policy to place a moratorium on the construction of AI datacenters.

“Despite the extraordinary importance of this issue and its impact on every man, woman and child in this country, AI has received far too little serious discussion here in our nation’s capital,” Sanders told reporters on Wednesday. “I fear that Congress is totally unprepared for the magnitude of the changes that are already taking place.”

The policy, announced by Bernie Sanders, an independent senator from Vermont, and Alexandria Ocasio-Cortez, a New York Democratic representative, aims to ensure the AI boom protects the environment and communities, and benefits workers instead of harming them. A temporary ban, the lawmakers say, would give the US government time to create strong federal safeguards for AI, which is “affecting everything from our economy and wellbeing to our democracy, warfare and our kids’ education”.

“AI and robotics are creating the most sweeping technological revolution in the history of humanity,” Sanders said in an emailed statement. “The scale, scope, and speed of that change is unprecedented.”

The moratorium proposed in Sanders’s Senate bill would go into effect immediately if passed, and remain in place until laws are enacted to curb datacenters’ harmful effects. That includes quelling their climate and environmental impacts, ensuring they do not push up utility costs, preventing job displacement and “ensuring the wealth generated by [AI] companies is shared with the people of the United States”.

It would also impose a ban on the export of computing hardware, such as AI chips – or specialized processors – to any country without such protections on the books, including China.

Ocasio-Cortez will introduce a companion bill in the House.

The proposal comes as calls to halt AI datacenter expansion have gone from the margins to the mainstream. Since August 2025, towns and counties across the country – including in Missouri, Indiana, Georgia and North Carolina – have passed temporary bans on datacenter buildout. At least 11 states are now considering similar policies, according to Good Jobs First, a watchdog group tracking economic development.

In December, more than 200 advocacy groups led by the national environmental organization Food and Water Watch also sent House and Senate leaders a letter calling for a federal datacenter moratorium, citing concerns about the sector’s impacts on electricity bills and the climate crisis. Sanders became the first lawmaker to back their demand and it has since gained steam with progressive lawmakers such as Maxwell Frost, a Florida representative, and Pramila Jayapal, a Washington representative.

“A few months ago, when I proposed a moratorium on AI datacenters, it was perceived as a radical, fringe and Luddite idea,” Sanders wrote in a February statement. “Well, not any more.”

Survey data shows Americans are increasingly worried about AI’s many impacts. A June 2025 poll found that half of US adults are more concerned than excited about its increasing use in daily life, while a December poll found 60% of Americans believe the sector should be better regulated to limit its potential negative effects on society.

Voters are also troubled about the effect of datacenters on increased utility costs and energy consumption. When a February poll asked participants to select the more concerning issue in randomized contests against datacenter-related issues, they selected utility costs 64% of the time and energy consumption 59% of the time.

Datacenters’ need for vast quantities of water to cool down equipment has also sparked controversy, especially in drought-ridden areas. So have the facilities’ climate effects. Though AI proponents claim the sector can help to lower emissions, an October report from green group Center for Biological Diversity estimates that if current trends continue, datacenters may account for nearly half of all US emissions from the power sector that current national climate targets allow.

Datacenters’ electricity demand is also raising electricity prices in some areas. One Bloomberg analysis found that some regions with especially high concentrations of datacenters have already seen power costs surge by 267% over the past five years."
New York,1504643174403666,2026-06-06 22:38:31+00:00,5165.0,"I have spent my career listening to the people, especially those who were told to sit down and be quiet, who were told their backyard was safe, and that the water was safe to drink….

I’ve shown up to community after community across the country for decades because the people who live in these towns invite me. I get hundreds of emails every single day, and what they say boils down to two little words: help me.

So when I started hearing from people about AI data centers appearing in their communities with little to no notice, I paid attention.

On April 27, I put out a simple ask: if you have concerns about an AI data center near you, tell me about it. I expected some response. What I got was a flood.

We started with 30 reports on the map at BrockovichDataCenter.com. In a month, 3,862 residents submitted reports. The map now has 2,716 pins and represents 49 states. The single most common concern—more than noise, more than water usage, more than rising utility bills—is the one word that keeps appearing in submission after submission: transparency.

Residents are using words like silenced, ignored, secretive, and not seen and not heard.

They write about back-door deals and NDAs. They describe showing up to planning meetings only to find out the decisions have already been made.

They’re watching their utility bills climb, finding sick animals they can’t explain, and worrying about the long-term impacts on their health and property values. These complaints are not small. They show a national pattern.

When you hear about issues in one community here or there, it looks bad. But when you line these communities up side by side, you see the larger picture.

So let me ask the question directly: if AI data centers are such a tremendous benefit to communities, why are so many of them being built without meaningful community input?

The Scale of What’s Being Built
To understand what communities are dealing with, you first have to understand the scale of what is being constructed, and how fast it’s all happening.

I’m not talking about a handful of buildings going up quietly in industrial zones. What we’re seeing is a wholesale remaking of the American landscape, town by town, county by county.

In the flatlands of northeast Louisiana, know for soybean fields and dense clusters of rivercane, Meta is building a 4-million-square-foot AI campus called Hyperion. When finished, it will consume more electricity than the entire city of New Orleans and cover a footprint the size of lower Manhattan.

“Meta’s investment establishes the region as an anchor in Louisiana’s rapidly expanding tech sector, revitalizes one of our state’s beautiful rural areas and creates opportunities for Louisiana workers to fill high-paying jobs of the future,” said Louisiana Governor Jeff Landry in a press statement. “I thank Meta for their commitment to our state.”

Diane Cobb, a resident of Holly Ridge an unincorporated community in Richland Parish, said she found out about the data center the way everyone else in her community did—when they started digging.

“Nobody told us anything,” she told New Orleans Public Radio. “They supposedly had a big meeting. The whole community was supposed to come. Nobody knew anything about it. Ever.”

At a meeting at Diane’s house in February, local community members brought their questions.

Why does their water sometimes turns brown?

Why has their electricity has been shutting off without any notice, sometimes for days at a time?

Why does everyone seem to have gotten sicker since Meta showed up?

In West Memphis, Arkansas, Alphabet’s Google has started construction on what state officials are calling the largest private capital investment in state history, a multibillion dollar campus on 1,100 acres of scrubland.

In South Memphis, Tennessee, Elon Musk converted a vacant Electrolux factory into his Colossus supercomputer in just 122 days. He is now building a second, larger version targeting a million GPUs, has acquired a third building to expand further, and purchased a former Duke Energy power plant to keep it all running.

Microsoft has invested more than $7 billion in its data centers in Racine County, Wisconsin.

“In the heart of the American Midwest, a modern marvel is rising,” Microsoft Vice Chair and President Brad Smith said in a statement. “We’re in the final phases of building the world’s most powerful AI datacenter in Mount Pleasant, Wisconsin—part of a region forged by generations of hard work and ingenuity.”

Meanwhile, environmental groups are pursuing legal action and policy advocacy.

“Transparency cannot depend on a company’s goodwill or public relations strategy, according to a 2026 statement released by the org. “Rather, transparency is foundational to democratic decision-making and community trust, especially for projects with environmental impacts as significant as large-scale data centers. These facilities will place enormous demands on our water supplies, electricity grids, and local infrastructure. Communities have a right to full, timely, and meaningful information before decisions are made—not after deals are signed behind closed doors.”

In rural Indiana near the banks of Lake Michigan, Amazon has transformed 1,200 acres of farmland into an $11 billion facility called Project Rainier.

Hundreds of data centers are already operating in Texas with hundreds more on the way. Concerns about water consumption at these facilities is rising as the state stares down a major water shortage due to prolonged drought, population growth and industrial demand that outpace existing supplies. Texas will need at least $174 billion in the next 50 years to avoid a major water crisis, according to a new state analysis.

I could go on, and on, and on. Read more here.

U.S. data centers also consumed more than 4 percent of total U.S. electricity in 2023, according to the MIT Energy Initiative. That number could more than double to 9 percent by 2030, the research group projects. A single hyperscale data center can consume as much electricity as 50,000 homes.

Meet the Messengers
As residents across the country have begun pushing back, they’ve started encountering a well-funded counter-effort, and it’s worth knowing who is behind it.

NetChoice is a Washington, D.C.-based trade association whose members include some of the biggest names in the tech sector: Amazon, Google, Meta, and others. It’s funded primarily through membership dues and sponsorships paid by those same corporations.

The association’s stated mission is to promote free enterprise and free expression online. NetChoice lobbies against regulations its corporate members find inconvenient, litigates against state laws those members oppose, and runs public campaigns designed to shape how communities and lawmakers think about technology policy.

One of those campaigns is called “Data Centers Help Local Communities.” Maybe you’ve seen an ad on YouTube? It promotes the economic benefits of data centers and encourages states to offer tax exemptions to attract them.

The messaging emphasizes job creation, tax revenue, and broadband expansion. It does not emphasize community consent, environmental impact, or the right of residents to know what is being built next door before the permits are signed.

This effort is not put out by an independent research organization or a neutral policy group. It’s an industry lobby funded by the very companies building these facilities, running ads and campaigns designed to smooth the path for their members’ projects.

When you see messaging about how data centers are good for your town, it’s worth asking: who paid for that message, and what are they selling?

The economic arguments NetChoice makes are not fabricated. Data centers do create some jobs. They can generate tax revenue. In places like Loudoun County, Virginia, that revenue has been genuinely significant. But an industry lobby will always lead with the benefits and bury the costs.

It will not tell you about the strain on your power grid, the draw on your water supply, the noise that doesn’t stop, or the back-door deals your local officials may have already signed before you heard a word about it.

Communities Are Pushing Back —> & Winning
The good news is that when communities organize and show up, conditions can change.

In Monroe Township, New Jersey, residents began packing planning board meetings after discovering a proposed 1 million-square-foot data center and 522,000-square-foot warehouse on 172 acres of vacant farmland.

People raised concerns about electricity consumption, water usage, and noise. Officials heard them.

By April, Monroe Township passed ordinances banning data centers entirely. When developer Hexa Builders’ application was subsequently denied as incomplete, the ban took full effect. You can read the Mayor’s full statement about it here.

Monroe Township is not alone. Pemberton Township in Burlington County passed what advocates say was New Jersey’s first municipal data center ban in February.

Advocates are now pushing for a state moratorium on new data centers.

Kassi Solberg a mom in rural Montana made national headlines taking on a proposed 5,000-acre AI data center near her property. At a recent town hall meeting, she asked if anyone on the town council had signed a nondisclosure agreement with the developer that would keep them silent about the project.

The mayor replied that the council wasn’t obliged to answer the public’s questions at the town meetings, according to what the town’s lawyer had told him.

“I think they count on us being dumb country people and us not pushing back,” she told The New York Times. “But by the time you figure out what these companies are planning to do, they’ve got the data centers built already.”

In Utah, Kevin O’Leary’s massive proposed facility is facing mounting community opposition.

The pattern is consistent. When communities are informed and organized, they can change the conversation. They can take action.

What Transparency Looks Like
I want to be clear. I’m not making a blanket argument against data centers or against the technology they support. Some communities have welcomed these facilities after genuine public engagement, honest disclosure of impacts, and real negotiation of community benefits. When that happens, that’s democracy working the way it should.

What is not acceptable is the pattern our map documents: projects announced after permits are already secured, developers who don’t return calls, local officials who signed NDAs before their neighbors knew a project was being considered.

A company can be planning something the size of lower Manhattan in your county, drawing more electricity than a major American city, backed by hundreds of billions in borrowed money, and the people who live there may have no idea it’s coming until the trucks arrive.

Transparency means notifying residents before decisions are made, not after. It means public hearings with real, complete information about energy consumption, water use, noise levels, and effects on local infrastructure. It means elected officials who answer to their constituents first, not to the corporations seeking tax breaks and zoning variances.

When a company the size of Meta or Amazon wants to put a billion-dollar facility in a town of less than 20,000 people, give the people who live there a seat at the table. It’s that simple.

What You Can Do
The map at BrockovichDataCenter.com exists because of you. Every pin represents a real person who refused to be silent. A new feature where you can upload photos and videos is coming soon, which means the documentation will only get stronger. Get your phones out and start showing us what your water looks like, what your neighborhood sounds like, or any other visual changes in your neighborhood.

If there is a data center issue in your community, report it.

Attend your local planning board meetings. Ask your elected officials what they knew and when they knew it. Ask whether any NDAs were signed. Ask for the full environmental and energy impact assessments, and if they don’t exist, ask why not.

The race to build AI infrastructure is unfolding town by town across this country. In some places, it is welcomed. In others, it is being forced through the back door.

The difference, in almost every case, comes down to whether the community was informed, whether they organized, and whether they showed up.

To all of you who have already submitted, thank you! Keep it coming.

Note: We have about 4,000 data centers operating in the U.S., many built before the AI boom. The map isn't intended to show every data center. It's focused on locations where community members are actively voicing concerns.

----

By Erin Brockovich, see comments for sources and more."
New York,1568214234675366,2026-04-28 02:35:08+00:00,1908.0,"[Video] City of Rochelle, IL ‘rejects’ data center proposal 7-0. Applause erupted after the vote. ￼(Watch video on first comment) 

Unlike many other cities, like the City Of DeKalb, who didn’t  bother to listen to their constituents, Rochelle city Council unanimously rejected a proposal for a gargantuan data center within their town. The citizens of Rochelle Illinois were staunchly against the proposal. ￼ town leaders listened. ￼

The City of Dekalb, currently has a large data center (with a second on the way). Dekalb politicians promised property taxes would decrease as a result of the data center currently operating, however DeKalb residents and businesses will see a 10 to 12% across-the-board property tax increase on tax bills, arriving in the next 30 days, ￼despite promises that their taxes would go down. ￼ City Of Rochelle officials saw through this nonsense as well. ￼

The proposed data center in Rochelle was planned to be built along Steward Drive and was proposed by Midwest Power Investors LLC, in affiliation with New York-based real estate company LFF Industrial.
￼
Rochelle Mayor John Bearrows spoke out against the proposal before the council voted, saying, “I can not support this project and I won’t. And I ask council to join me in voting this contract down.”

#datacenter #rochelleIL #fairandbalanced #dekalbillinoisissues 

⬇️watch video below⬇️"
New York,2017351445493446,2026-03-01 23:57:20+00:00,1476.0,"IT'S TIME FOR YOUR SUNDAY GOOD NEWS ROUNDUP!! 🥳🥳 (link to the full newsletter with sources in the first comment)

Hi, all, and happy Sunday!

Of course, it’s anything but happy. We’re at war, American service members are dying, and all kinds of other heinous things are also happening.

But I’m here with a new all-wins list for you, because we can only get through this hellish period in history if we occasionally stop and take in the good things that are also occurring.

So please, take a break from doomscrolling and check out all the things that went RIGHT this week. There are a lot.

Treat this like medicine, folks. Dose yourselves with it thoroughly, maybe do it a second time, and then share this list with everyone else you know who’s not feeling so great.

We can get through this. We will get through it. Because of people just like you and through wins just like this.

Celebrate This! 🎉
Trump Media and Technology Group, the parent company of Truth Social, revealed that in 2025 it lost $712 million and brought in just $3.7 million in revenue.​

​Brandi Carlile raised $600K for immigrant legal aid in Minnesota with a livestream concert fundraiser. The singer’s “Be Human: A Concert for Minnesota” event benefited The Advocates For Human Rights, a nonprofit in Minneapolis that provides legal aid to people detained by ICE.​

Officials in Denver announced a moratorium on the construction of new data centers.

The Olympic gold medal-winning U.S. women’s hockey team declined the President’s invitation to attend his State of the Union address.

London police arrested former U.K. ambassador to the U.S. Peter Mandelson on suspicion of misconduct in public office, the country’s second recent arrest for ties to convicted sex offender Jeffrey Epstein.

A planned protest outside National Development headquarters in Newton, MA was canceled after a meeting with the CEO resulted in banning ICE agents from parking their vehicles in National Development lots. [Submitted by subscriber Denise Y.]

After a failed grand jury indictment, Jeanine Pirro's office has decided to stop pursuing the case against six Democratic lawmakers who urged members of the military and intelligence communities in a social media video not to comply with unlawful orders.

A proposal to rename a portion of a highway in Texas after Charlie Kirk was dropped after local residents pushed back.

Thanks to a crackdown on illegal land clearing, Brazil has seen a record drop in deforestation this year in the Amazon.

CA Attorney General Rob Bonta promised to conduct a “vigorous” review of Paramount Skydance’s acquisition of Warner Bros. Discovery and warned the companies not to get ahead of the regulatory process in their celebrations.

A federal judge in Boston ruled that the Trump administration’s policy of deporting undocumented immigrants to countries where they are not citizens is unconstitutional.

House Democrats, who hope to regain the majority in the November midterms, are already charting an aggressive strategy of investigating the Trump administration next year.

UNC-Chapel Hill will “scrap” a policy that would have allowed administrators to secretly record professors, Chancellor Lee Roberts said Friday. The move comes less than three weeks after the controversial rules were enacted. Roberts said at a Faculty Council meeting that he decided to reconsider the policy after it “created a lot of disquiet.” I’ll say!

Ukrainian forces have regained control of eight settlements and liberated 154 square miles of territory from Russian occupation since the end of January 2026.

Senate Majority Leader John Thune declared publicly for the first time that there’s no way for Senate Republicans to maintain the procedural unity required in order to pass the SAVE America Act via a “talking filibuster.”

A new Reuters-Ipsos poll finds 61% of Americans agreed that President Trump has “become erratic with age.” Just 45% say Trump is “mentally sharp and able to deal with challenges.”

TED is giving $1B to 10 nonprofits working to solve “humanity's biggest problems.”

North Carolina’s water infrastructure authority approved more than $472 million in funding for 145 water infrastructure projects across the state.

In a “hugely significant milestone,” 158 captive-bred juvenile giant tortoises were released on the Galápagos island of Floreana, making their return after over 180 years of absence.

St. Pete, FL lit up its sky with rainbow lasers for Winter Pride.​

The U.S. Forest Service is no longer issuing firefighters gear that contains PFAS. This happened after reporting by ProPublica exposed the danger. What a great news organization!

For the first time in league history, the WNBA generated enough revenue to trigger revenue sharing with players.

Anthropic is rejecting the Pentagon’s latest offer to change their contract, saying the changes do not satisfy the company’s concerns that AI could be used for mass surveillance or in fully autonomous weapons. If you’re using Chat GPT now’s the time to switch to Claude!

Joining fans outraged by Trump’s phone call with the U.S. men’s team, Flavor Flav invited the U.S. women’s hockey team to have “a real celebration” for their gold medal win in Las Vegas. He then expanded his invitation for the U.S. women’s hockey team to all American female medalists, both Olympians and Paralympians.

Zohran Mamdani secured the release of a Columbia University student detained by ICE.

Democrats in four states are seeking to bar ICE employees from future civil service jobs.

Paramount Skydance saws its 4th quarter losses widen amid its effort to acquire Warner.

Over 1000 activists, students, teachers, and community members braved the intense cold to pack the city hall in Romulus, Michigan to protest the proposed construction of an ICE detention center. They won! The project has been rejected.

Team USA won its most gold medals in a single Winter Olympics this year, with 12 total golds — and 8 of them were won by women.

New polling confirms that voters in Trump-carried states, including Trump’s own voters, widely support solar energy.

The proposed detention center in Merrimack NH has been canceled. Once again, the outcry of the people made the difference!

The voter enthusiasm gap is now a record 14 points in Democrats’ favor, the largest gap since the 2006 wave election.

One in five Americans who voted for Trump in 2024 now say they regret their vote (20%), a 6-point increase from earlier this month (and throughout Navigator’s tracking of Trump’s second term).

Ana Tiburcio of Alleghany County and Jennifer Mazzocco of Lehigh County were elected as Pennsylvania state representatives on Tuesday, securing a Democratic majority in the state legislature.

And in Maine, Scott Harriman defeated Republican Janet Beaudoin and further cemented Democrats’ hold on the state House.

FedEx sued the U.S. government, seeking a “full refund” of the money the shipping giant paid for Trump’s illegal tariffs.

The sheriff’s office in Alameda county, CA, home to Oakland and Berkeley, announced that it will no longer participate in a federal program that pays local law enforcement to share sensitive data on people they detain, exposing them to immigration authorities.

Borge Brende, the CEO of the World Economic Forum, quit his position after his Epstein ties were revealed.

The longevity influencer Peter Attia has resigned from his position as a contributor to CBS News, about three weeks after the revelation of his relationship with Jeffrey Epstein.

Someone is paying for Leaving MAGA billboards to go up in red districts in Pennsylvania. No one is quite sure who.

In Utah, a federal appeals court rejected a Republican plea to block a new court-imposed congressional map that is likely to shift a seat toward Democrats.

Larry Summers announced his resignation from Harvard later this year due to his Epstein ties.

The Department of Homeland Security reversed course after saying that it would suspend TSA PreCheck because of the partial government shutdown.

One of New York’s largest health insurers is set to pay a multimillion-dollar fine for failing to fix a series of errors that made it harder for its customers to get mental health care.

Portland’s administrative branch published a temporary rule allowing the city to fine the owner of the South Portland ICE building at least $5,000 each time ICE officers shoot chemical munitions, like tear gas, from the property.

A federal judge ruled that the Trump administration can’t force states to supply food stamp data in exchange for SNAP funding.

One year after masked federal agents grabbed her off the street, Tufts University student Rumeysa Ozturk earned her PhD, and said she is still “hopeful that our world can become a gentler and more peaceful place.”

Stanley Tucci treated the U.S. Women’s Hockey Team to one of his favorite restaurants in Milan. (The men’s team got cold Big Macs at the White House.)

After a historically huge snowfall, Zohran Mamdani offered New Yorkers $30/hr to shovel snow with $45/hr overtime. The sidewalks were clear in hours.

A brand new Reuters/Ipsos poll finds only 27% of Americans approve of the military attacks in Iran. 43% disapprove.

US farmers are rejecting multimillion-dollar datacenter bids for their land."
