state,month,facebook_policy_posts,facebook_unique_owners,introduction,latest_action_proxy,latest_recorded_passage
California,2024-01,0.0,0.0,0.0,0.0,0.0
California,2024-02,0.0,0.0,2.0,0.0,0.0
California,2024-03,0.0,0.0,0.0,0.0,0.0
California,2024-04,0.0,0.0,0.0,0.0,0.0
California,2024-05,0.0,0.0,0.0,0.0,2.0
California,2024-06,0.0,0.0,0.0,0.0,0.0
California,2024-07,0.0,0.0,0.0,1.0,0.0
California,2024-08,0.0,0.0,0.0,2.0,0.0
California,2024-09,0.0,0.0,0.0,0.0,0.0
California,2024-10,0.0,0.0,0.0,0.0,0.0
California,2024-11,0.0,0.0,0.0,0.0,0.0
California,2024-12,1.0,1.0,0.0,0.0,0.0
California,2025-01,0.0,0.0,3.0,0.0,0.0
California,2025-02,0.0,0.0,2.0,0.0,0.0
California,2025-03,0.0,0.0,0.0,0.0,0.0
California,2025-04,1.0,1.0,0.0,0.0,0.0
California,2025-05,0.0,0.0,0.0,0.0,0.0
California,2025-06,0.0,0.0,0.0,0.0,1.0
California,2025-07,0.0,0.0,0.0,0.0,0.0
California,2025-08,0.0,0.0,0.0,1.0,0.0
California,2025-09,0.0,0.0,0.0,0.0,3.0
California,2025-10,0.0,0.0,0.0,1.0,0.0
California,2025-11,1.0,1.0,0.0,0.0,0.0
California,2025-12,0.0,0.0,0.0,0.0,0.0
California,2026-01,0.0,0.0,2.0,2.0,0.0
California,2026-02,1.0,1.0,5.0,1.0,0.0
California,2026-03,5.0,3.0,0.0,0.0,0.0
California,2026-04,2.0,2.0,0.0,0.0,0.0
California,2026-05,6.0,5.0,0.0,1.0,6.0
California,2026-06,33.0,10.0,0.0,0.0,0.0
California,2026-07,7.0,6.0,0.0,0.0,0.0
California,2026-08,4.0,4.0,0.0,6.0,0.0
Georgia,2024-01,0.0,0.0,0.0,0.0,0.0
Georgia,2024-02,0.0,0.0,1.0,0.0,0.0
Georgia,2024-03,0.0,0.0,0.0,1.0,2.0
Georgia,2024-04,0.0,0.0,0.0,0.0,0.0
Georgia,2024-05,0.0,0.0,0.0,1.0,0.0
